query_id;mode;query_text;source_file;candidate_mtr_code;purpose
Q001;точный поиск;Найди MTR-0013;;;Поиск по точному коду МТР
Q002;точный поиск;Покажи позицию KSM-0008;;;Поиск по точному коду КСМ
Q003;семантический поиск;Нужен крутоизогнутый отвод 90 градусов диаметром 159 со стенкой 10 из 09Г2С К48;;;Поиск по обычному русскому описанию
Q004;семантический поиск;Нужна поворотная заглушка на 25 для давления 160;;;Поиск без обозначения изделия
Q005;семантический поиск;Подберите клиновую задвижку DN150 PN40;;;Поиск другого класса оборудования
Q006;семантический поиск;Ищу трубу 159 на 10 из стали 09Г2С;;;Разговорная форма параметров
Q007;гибридный поиск;Отвод ОКШ 90 DN159 стенка 10 К48 для газа с H2S и внутренним покрытием;;;Совмещение текста и точных параметров
Q008;гибридный поиск;Концентрический переход с 219 на 159 стенка 8 PN160 ГОСТ 17378-2001;;;Проверка D1 и D2
Q009;гибридный поиск;ОГ 90 градусов DN325 стенка 8 PN100;;;Поиск по подтипу и параметрам
Q010;поиск по паспорту;;documents/passport_013_oksh90_h2s.md;;Извлечение полной карточки из паспорта
Q011;поиск по паспорту;;documents/ocr/ocr_noisy_reducer.txt;;Извлечение из OCR с ошибками
Q012;поиск по паспорту;;documents/passport_016_incomplete.md;;Уточняющий вопрос при нехватке данных
Q013;проверка аналога;Можно ли К52 вместо К48 для отвода ОКШ90 DN159 стенка 10?;;MTR-0012;Разница класса прочности
Q014;проверка аналога;Подойдет ли заглушка MTR-0009 вместо MTR-0008?;;MTR-0009;PN100 вместо PN160
Q015;проверка аналога;Подойдет ли MTR-0014 вместо отвода со стенкой 10?;;MTR-0014;Толщина 8 вместо 10
Q016;проверка аналога;Можно ли поставить MTR-0015 вместо отвода DN159?;;MTR-0015;DN219 вместо DN159
Q017;проверка аналога;Можно ли отвод 45 градусов вместо отвода 90 градусов?;;MTR-0002;Различие угла
Q018;проверка аналога;Можно ли использовать H2S-исполнение MTR-0013 вместо обычного MTR-0001?;;MTR-0013;Кандидат имеет дополнительные подтверждения
Q019;неполный запрос;Нужен отвод DN159;;;Должен появиться уточняющий вопрос
Q020;неполный запрос;Найдите заглушку;;;Не указаны DN и PN
Q021;неполный запрос;Нужен переход 219 на 159;;;Можно найти типоразмер но надо уточнить давление и материал
Q022;составная замена;Можно ли заменить один отвод 90 двумя отводами 45 DN159?;;MTR-0002;Отдельный сложный сценарий 2 x 45
Q023;составная замена;Можно ли заменить отвод 90 тремя отводами 30 DN159?;;MTR-0003;Отдельный сложный сценарий 3 x 30
Q024;проверка аналога;У кандидата MTR-0001 нет сведений о внутреннем покрытии а оно требуется. Что делать?;;MTR-0001;Предупреждение без автоматического отказа
Q025;проверка аналога;Кандидат MTR-0001 нужен для H2S но в паспорте нет подтверждения;;MTR-0001;H2S требует проверки
Q026;гибридный поиск;Отвод ОКШ90 DN159 для среды CO2 с подтвержденной стойкостью;;;В каталоге нет подтвержденного CO2
Q027;гибридный поиск;Поворотная заглушка DN25 PN100;;;Точное различение давления
Q028;гибридный поиск;Поворотная заглушка DN25 PN160;;;Точное различение давления
Q029;гибридный поиск;Отвод ОКШ90 DN159 стенка 10 класс прочности К52;;;Точное различение класса прочности
Q030;семантический поиск;Деталь которая меняет направление газопровода на прямой угол диаметр 159;;;Синонимы и смысл без слова отвод

